category,cpi_u_weight,cpi_w_weight
All items,1.0,1.0
Food and beverages,0.14526,0.15959
Food,0.13691,0.15166000000000002
Food at home,0.08042999999999999,0.09117000000000001
Cereals and bakery products,0.0111,0.011810000000000001
Cereals and cereal products,0.0034100000000000003,0.00386
Flour and prepared flour mixes,0.00029,0.00034
Breakfast cereal,0.00148,0.0016300000000000002
"Rice, pasta, cornmeal",0.00164,0.00188
Bakery products,0.00769,0.00795
Bread,0.0014199999999999998,0.0014299999999999998
"Fresh biscuits, rolls, muffins",0.00135,0.0014199999999999998
"Cakes, cupcakes, and cookies",0.00213,0.0022
Other bakery products,0.0027900000000000004,0.00291
"Meats, poultry, fish, and eggs",0.01621,0.01978
"Meats, poultry, and fish",0.014490000000000001,0.01775
Meats,0.00919,0.01113
Beef and veal,0.00445,0.005639999999999999
Uncooked ground beef,0.00201,0.0025800000000000003
Uncooked beef roasts,0.0005600000000000001,0.00058
Uncooked beef steaks,0.00128,0.0016200000000000001
Uncooked other beef and veal,0.0006,0.00086
Pork,0.0028799999999999997,0.00338
"Bacon, breakfast sausage, and related products",0.0010199999999999999,0.00113
Ham,0.00043999999999999996,0.00043999999999999996
Pork chops,0.0005,0.00066
"Other pork including roasts, steaks, and ribs",0.00092,0.00115
Other meats,0.0018599999999999999,0.00211
Poultry,0.0028799999999999997,0.00365
Chicken,0.00216,0.0028899999999999998
Other uncooked poultry including turkey,0.0007199999999999999,0.0007599999999999999
Fish and seafood,0.00242,0.00298
Fresh fish and seafood,0.0014000000000000002,0.00157
Processed fish and seafood,0.0010199999999999999,0.0014000000000000002
Eggs,0.00172,0.00203
Dairy and related products,0.00741,0.00203
Milk,0.002,0.00231
Cheese and related products,0.00255,0.0027500000000000003
Ice cream and related products,0.00132,0.00136
Other dairy and related products,0.00154,0.00178
Fruits and vegetables,0.01336,0.014839999999999999
Fresh fruits and vegetables,0.01117,0.012589999999999999
Fresh fruits,0.00561,0.00631
Apples,0.0008,0.0008
Bananas,0.00109,0.00123
Citrus fruits,0.00063,0.00078
Other fresh fruits,0.0031,0.0035099999999999997
Fresh vegetables,0.00555,0.00628
Potatoes,0.00082,0.0009
Lettuce,0.0007099999999999999,0.00074
Tomatoes,0.00094,0.0011
Other fresh vegetables,0.00309,0.0035399999999999997
Processed fruits and vegetables,0.0022,0.0022500000000000003
Canned fruits and vegetables,0.0008799999999999999,0.00092
Frozen fruits and vegetables,0.00067,0.0007099999999999999
Other processed fruits and vegetables including dried,0.00065,0.00062
Nonalcoholic beverages and beverage materials,0.00897,0.01064
Juices and nonalcoholic drinks,0.00631,0.008110000000000001
Carbonated drinks,0.0034100000000000003,0.00424
Frozen noncarbonated juices and drinks,3e-05,5e-05
Nonfrozen noncarbonated juices and drinks,0.0028699999999999997,0.00382
Beverage materials including coffee and tea,0.00265,0.00253
Coffee,0.00134,0.00115
Other beverage materials including tea,0.00131,0.0013800000000000002
Other food at home,0.02338,0.0259
Sugar and sweets,0.00332,0.00357
Sugar and sugar substitutes,0.00028000000000000003,0.00032
Candy and chewing gum,0.00231,0.00252
Other sweets,0.00074,0.00073
Fats and oils,0.0025,0.00255
Butter and margarine,0.00055,0.0005099999999999999
Salad dressing,0.00066,0.0007099999999999999
Other fats and oils including peanut butter,0.0012900000000000001,0.00133
Other foods,0.01756,0.01978
Soups,0.00105,0.00111
Frozen and freeze dried prepared foods,0.0027900000000000004,0.00308
Snacks,0.00365,0.0043
"Spices, seasonings, condiments, sauces",0.00383,0.0043
Baby food and formula,0.0006,0.00094
Other miscellaneous foods,0.005639999999999999,0.00605
Food away from home,0.056479999999999995,0.06049
Full service meals and snacks,0.02434,0.02214
Limited service meals and snacks,0.028450000000000003,0.03465
Food at employee sites and schools,0.0007199999999999999,0.0008
Food from vending machines and mobile vendors,0.00055,0.0007000000000000001
Other food away from home,0.00241,0.0022
Alcoholic beverages,0.00835,0.00793
Alcoholic beverages at home,0.00449,0.00431
"Beer, ale, and other malt beverages at home",0.00154,0.00192
Distilled spirits at home,0.0010299999999999999,0.00122
Wine at home,0.00192,0.00117
Alcoholic beverages away from home,0.00387,0.00361
Housing,0.44201,0.41932
Shelter,0.35483,0.33186
Rent of primary residence,0.07499,0.10438
Lodging away from home,0.012920000000000001,0.00766
"Housing at school, excluding board",0.00243,0.00105
Other lodging away from home including hotels and motels,0.01049,0.00661
Owners' equivalent rent of residences,0.26282,0.21579
Owners' equivalent rent of primary residence,0.25083,0.21114
Unsampled owners' equivalent rent of secondary residences,0.01198,0.0046500000000000005
Tenants' and household insurance,0.0040999999999999995,0.004030000000000001
Fuels and utilities,0.043120000000000006,0.049210000000000004
Household energy,0.03233,0.0374
Fuel oil and other fuels,0.0013900000000000002,0.00123
Fuel oil,0.00074,0.00064
"Propane, kerosene, and firewood",0.00065,0.0005899999999999999
Energy services,0.03094,0.03617
Electricity,0.02343,0.02833
Utility (piped) gas service,0.0075,0.00784
Water and sewer and trash collection services,0.01079,0.011810000000000001
Water and sewerage maintenance,0.00738,0.00847
Garbage and trash collection,0.0034100000000000003,0.00334
Household furnishings and operations,0.044059999999999995,0.038239999999999996
Window and floor coverings and other linens,0.0024,0.00234
Floor coverings,0.0005899999999999999,0.00057
Window coverings,0.00055,0.0004
Other linens,0.00127,0.0013800000000000002
Furniture and bedding,0.00788,0.00735
Bedroom furniture,0.00254,0.00243
"Living room, kitchen, and dining room furniture",0.00381,0.00374
Other furniture,0.0014399999999999999,0.00105
Unsampled furniture,8.999999999999999e-05,0.00013
Appliances,0.00214,0.0027900000000000004
Major appliances,0.00068,0.00108
Other appliances,0.0014299999999999998,0.00164
Unsampled appliances,3e-05,8e-05
Other household equipment and furnishings,0.00491,0.00458
"Clocks, lamps, and decorator items",0.0028599999999999997,0.00268
Indoor plants and flowers,0.00113,0.00091
Dishes and flatware,0.00037,0.00037
Nonelectric cookware and tableware,0.00055,0.00062
"Tools, hardware, outdoor equipment and supplies",0.008369999999999999,0.0070599999999999994
"Tools, hardware and supplies",0.0024,0.0020499999999999997
Outdoor equipment and supplies,0.00362,0.00245
"Unsampled tools, hardware, outdoor equipment and supplies",0.0023499999999999997,0.00256
Housekeeping supplies,0.008060000000000001,0.00942
Household cleaning products,0.003,0.0038
Household paper products,0.00178,0.00229
Miscellaneous household products,0.00329,0.00334
Household operations,0.0103,0.00469
Domestic services,0.00312,0.00106
Gardening and lawncare services,0.00336,0.00153
"Moving, storage, freight expense",0.00127,0.00091
Repair of household items,0.00172,0.0007599999999999999
Unsampled household operations,0.00083,0.00042
Apparel,0.0248,0.02751
Men's and boys' apparel,0.006540000000000001,0.00821
Men's apparel,0.00526,0.00645
"Men's suits, sport coats, and outerwear",0.0008799999999999999,0.0008799999999999999
"Men's underwear, nightwear, swimwear, and accessories",0.0014000000000000002,0.00161
Men's shirts and sweaters,0.00149,0.00181
Men's pants and shorts,0.00133,0.0017000000000000001
Unsampled men's apparel,0.00015,0.00045
Boys' apparel,0.00128,0.0017599999999999998
Women's and girls' apparel,0.00967,0.00937
Women's apparel,0.0086,0.00804
Women's outerwear,0.0007599999999999999,0.00054
Women's dresses,0.00125,0.0017699999999999999
Women's suits and separates,0.0034699999999999996,0.00292
"Women's underwear, nightwear, swimwear, and accessories",0.00301,0.00269
Unsampled women's apparel,0.00010999999999999999,0.00013
Girls' apparel,0.00107,0.00132
Footwear,0.0057799999999999995,0.006999999999999999
Men's footwear,0.00196,0.0024
Boys' and girls' footwear,0.00114,0.0017599999999999998
Women's footwear,0.00267,0.0028499999999999997
Infants' and toddlers' apparel,0.0010199999999999999,0.00165
Jewelry and watches,0.0018,0.00128
Watches,0.00042,0.00029
Jewelry,0.0013700000000000001,0.00099
Transportation,0.16571000000000002,0.1929
Private transportation,0.15103,0.18131
New and used motor vehicles,0.07447,0.08481
New vehicles,0.04393,0.04486
Used cars and trucks,0.02391,0.03294
Leased cars and trucks,0.0039700000000000004,0.004
Car and truck rental,0.0013,0.00121
Unsampled new and used motor vehicles,0.00136,0.0018
Motor fuel,0.029830000000000002,0.04046
Gasoline (all types),0.02902,0.0393
Other motor fuels,0.0008100000000000001,0.00116
Motor vehicle parts and equipment,0.00362,0.00436
Tires,0.00297,0.00345
Vehicle accessories other than tires,0.00065,0.00091
Motor vehicle maintenance and repair,0.01019,0.01027
Motor vehicle body work,0.00054,0.00052
Motor vehicle maintenance and servicing,0.00508,0.005180000000000001
Motor vehicle repair,0.00395,0.0038900000000000002
Unsampled service policies,0.00062,0.00068
Motor vehicle insurance,0.02796,0.03637
Motor vehicle fees,0.0049499999999999995,0.00504
State motor vehicle registration and license fees,0.0028399999999999996,0.00319
Parking and other fees,0.00198,0.00184
Unsampled motor vehicle fees,0.00013,1e-05
Public transportation,0.01468,0.01159
Airline fares,0.00918,0.00653
Other intercity transportation,0.00223,0.00113
Intracity transportation,0.00322,0.0038
Unsampled public transportation,4e-05,0.00013
Medical care,0.08273,0.06946
Medical care commodities,0.015269999999999999,0.01318
Medicinal drugs,0.01347,0.01163
Prescription drugs,0.009250000000000001,0.00776
Nonprescription drugs,0.00422,0.00387
Medical equipment and supplies,0.0018,0.00155
Medical care services,0.06747,0.056280000000000004
Professional services,0.03702,0.02913
Physicians' services,0.01824,0.01478
Dental services,0.009439999999999999,0.00762
Eyeglasses and eye care,0.00335,0.0027600000000000003
Services by other medical professionals,0.006,0.0039700000000000004
Hospital and related services,0.02252,0.019299999999999998
Hospital services,0.01932,0.01757
Nursing homes and adult day services,0.00165,0.00084
Care of invalids and elderly at home,0.00155,0.00089
Health insurance,0.00793,0.00784
Recreation,0.052919999999999995,0.044989999999999995
Video and audio,0.0106,0.0104
Televisions,0.00091,0.00099
"Cable, satellite, and live streaming television service",0.00653,0.00632
Other video equipment,0.00028000000000000003,0.00016
"Purchase, subscription, and rental of video",0.00156,0.00164
Audio equipment,0.00053,0.00052
Recorded music and music subscriptions,0.00075,0.0007199999999999999
Unsampled video and audio,5e-05,5e-05
"Pets, pet products and services",0.01163,0.01073
Pets and pet products,0.00632,0.00705
Pet services including veterinary,0.0053,0.00367
Sporting goods,0.0048,0.00386
Sports vehicles including bicycles,0.0024,0.00208
Sports equipment,0.0022400000000000002,0.0016200000000000001
Unsampled sporting goods,0.00016,0.00017
Photography,0.00075,0.00046
Photographic equipment and supplies,0.00018999999999999998,0.00021999999999999998
Photographers and photo processing,0.00055,0.00021999999999999998
Unsampled photography,0.0,1e-05
Other recreational goods,0.00366,0.0035399999999999997
Toys,0.0028499999999999997,0.0028199999999999996
"Sewing machines, fabric and supplies",0.00023,8.999999999999999e-05
Music instruments and accessories,0.00043999999999999996,0.00034
Unsampled recreation commodities,0.00014000000000000001,0.00029
Other recreation services,0.02051,0.01554
"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees",0.00817,0.00736
Admissions,0.00738,0.00532
Fees for lessons or instructions,0.00168,0.00084
Unsampled recreation services,0.00328,0.00202
Recreational reading materials,0.00098,0.00048
Newspapers and magazines,0.00053,0.0002
Recreational books,0.00045,0.00027
Unsampled recreational reading materials,0.0,0.0
Education and communication,0.05732,0.05534
Education,0.025830000000000002,0.01824
Educational books and supplies,0.00042,0.00041
"Tuition, other school fees, and childcare",0.02541,0.01783
College tuition and fees,0.01324,0.00981
Elementary and high school tuition and fees,0.00388,0.0016200000000000001
Day care and preschool,0.00724,0.005560000000000001
Technical and business school tuition and fees,0.00039,0.00034
"Unsampled tuition, other school fees, and childcare",0.00066,0.0005
Communication,0.03149,0.03711
Postage and delivery services,0.00054,0.00037
Postage,0.00052,0.00034
Delivery services,2e-05,2e-05
Information and information processing,0.03094,0.03674
Telephone services,0.014499999999999999,0.01845
Wireless telephone services,0.012809999999999998,0.01702
Residential telephone services,0.00169,0.0014299999999999998
"Information technology, hardware and services",0.01644,0.01829
"Computers, peripherals, and smart home assistants",0.00262,0.00221
Computer software and accessories,0.00027,0.00023
Internet services and electronic information providers,0.009260000000000001,0.0105
"Telephone hardware, calculators, and other consumer information items",0.00421,0.00526
Unsampled information and information processing,8.999999999999999e-05,8.999999999999999e-05
Other goods and services,0.029249999999999998,0.03089
Tobacco and smoking products,0.00482,0.008
Cigarettes,0.00361,0.00615
Tobacco products other than cigarettes,0.00116,0.00172
Unsampled tobacco and smoking products,6e-05,0.00013
Personal care,0.02443,0.02289
Personal care products,0.00649,0.00623
"Hair, dental, shaving, and miscellaneous personal care products",0.0029,0.0028000000000000004
"Cosmetics, perfume, bath, nail preparations and implements",0.0034999999999999996,0.00329
Unsampled personal care products,8.999999999999999e-05,0.00014000000000000001
Personal care services,0.00659,0.00611
Haircuts and other personal care services,0.00659,0.00611
Miscellaneous personal services,0.00977,0.00911
Legal services,0.0034300000000000003,0.00241
Funeral expenses,0.0014000000000000002,0.002
Laundry and dry cleaning services,0.00164,0.00202
Apparel services other than laundry and dry cleaning,0.00027,0.00023
Financial services,0.00244,0.0014099999999999998
Unsampled items,0.0005899999999999999,0.00104
Miscellaneous personal goods,0.00158,0.0014299999999999998
