sex;age;marital;income;ls;smoke
FEMALE;57;MARRIED;800;PLEASED;NO
MALE;20;SINGLE;350;MOSTLY SATISFIED;NO
FEMALE;18;SINGLE;NA;PLEASED;NO
FEMALE;78;WIDOWED;900;MIXED;NO
FEMALE;54;MARRIED;1500;MOSTLY SATISFIED;YES
MALE;20;SINGLE;-8;PLEASED;NO
FEMALE;39;MARRIED;2000;MOSTLY SATISFIED;NO
MALE;39;MARRIED;1197;MIXED;NO
FEMALE;43;MARRIED;580;MOSTLY SATISFIED;YES
FEMALE;63;MARRIED;1400;PLEASED;YES
FEMALE;38;MARRIED;1500;MOSTLY DISSATISFIED;YES
FEMALE;73;WIDOWED;1700;PLEASED;NO
FEMALE;54;WIDOWED;2000;MOSTLY SATISFIED;YES
MALE;30;SINGLE;900;MOSTLY SATISFIED;YES
MALE;68;MARRIED;-8;DELIGHTED;NO
MALE;61;MARRIED;-8;MIXED;YES
MALE;84;SINGLE;2000;PLEASED;NO
FEMALE;87;DIVORCED;1400;MIXED;NO
MALE;47;MARRIED;560;PLEASED;YES
MALE;45;MARRIED;530;PLEASED;YES
FEMALE;60;MARRIED;700;MIXED;NO
MALE;27;SINGLE;1000;PLEASED;YES
FEMALE;49;MARRIED;-8;PLEASED;YES
FEMALE;58;MARRIED;3500;MOSTLY SATISFIED;YES
MALE;30;SINGLE;1600;PLEASED;NO
MALE;59;MARRIED;1300;PLEASED;YES
FEMALE;26;SINGLE;1500;MOSTLY SATISFIED;NO
FEMALE;35;SINGLE;1300;MIXED;NO
MALE;17;SINGLE;NA;MIXED;NO
FEMALE;40;DIVORCED;2000;MOSTLY SATISFIED;YES
FEMALE;75;MARRIED;1157;PLEASED;NO
MALE;21;SINGLE;NA;PLEASED;YES
FEMALE;43;MARRIED;1000;MOSTLY SATISFIED;NO
MALE;34;MARRIED;4000;PLEASED;NO
FEMALE;35;MARRIED;800;PLEASED;NO
MALE;47;MARRIED;1200;MIXED;YES
MALE;20;SINGLE;-8;PLEASED;NO
MALE;71;MARRIED;1000;PLEASED;NO
